Instrument,ISIN,ISIX,WKN,Mnemonic,MIC Code,URL,,,,,,,,,,,,,,,,,,,,,,,Start Intraday Auction 10,Start Closing Auction
MONTAN MINING CORP.,CA61186P1027,2316,000A14P4P,S5GM,XETR,http://www.finanzen.at/aktien/Montan_Mining-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
NAMASTE TECHN.INC.,CA62987D1087,2787,000A2AEEG,M5BQ,XETR,http://www.finanzen.at/aktien/Namaste_Technologies-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
NETWORK LIFE SCIENC.,CA64130F2044,1237,000A2AJ8R,2NY2,XETR,http://www.finanzen.at/aktien/Network_Life_Sciences_2-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
NEVADA ENERGY METALS INC.,CA64130N1087,2726,000A2AFBV,NMK,XETR,http://www.finanzen.at/aktien/Nevada_Energy_Metals-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
NEVADA ZINC CORP.,CA64151W1023,2680,000A14P3D,6GX,XETR,http://www.finanzen.at/aktien/Nevada_Zinc-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
92 RES CORP.,CA6544061071,2720,000A11575,R9G2,XETR,http://www.finanzen.at/aktien/Rio_Grande_Mining_3-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
PAN AMER. SILVER CORP.,CA6979001089,3963,876617,PA2,XETR,http://www.finanzen.at/aktien/Pan_American_Silver-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
PASINEX RESOURCES LTD.,CA70260R1082,1454,000A1JWFY,PNX,XETR,http://www.finanzen.at/aktien/Pasinex_Resources_1-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
POTASH CORP. SAS. INC.,CA73755L1076,2172,878149,POC,XETR,http://www.finanzen.at/aktien/Potash-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
PURE ENERGY MINLS,CA74624B2057,2117,000A111EG,AHG1,XETR,http://www.finanzen.at/aktien/Pure_Energy_Minerals_2-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
RYU APPAREL INC.,CA74979J1003,2675,000A14PGW,RYA,XETR,http://www.finanzen.at/aktien/RYU_Apparel-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
RELIQ HEALTH TECHS,CA75955T1030,1618,000A2AJTB,MHN2,XETR,http://www.finanzen.at/aktien/Reliq_Health_Technologies_1-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
REWARDSTREAM SOLUT.,CA76156V1031,2213,000A2APX1,JL4L,XETR,http://www.finanzen.at/aktien/Rewardstream_Solutions-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SATURN MINERALS INC.,CA80410K1012,19582,000A0Q2CP,SMK,XETR,http://www.finanzen.at/aktien/Saturn_Minerals-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SILVER WHEATON CORP.,CA8283361076,8074,000A0DPA9,SII,XETR,http://www.finanzen.at/aktien/Silver_Wheaton-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SIRONA BIOCHEM CORP.,CA82967M1005,2429,000A0RM6R,ZSB,XETR,http://www.finanzen.at/aktien/Sirona_Biochem-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
TOWER RES LTD,CA89185T1066,2880,000A1JK46,T7Y1,XETR,http://www.finanzen.at/aktien/Tower_Resources_1-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
TRUE LEAF MEDICINE INTL,CA89785C1077,1149,000A14NM1,TLA,XETR,http://www.finanzen.at/aktien/True_Leaf_Medicine_International-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
VOLTAIC MNLS CORP.,CA92871N1024,2819,000A2AG5Q,2P61,XETR,http://www.finanzen.at/aktien/Voltaic_Minerals-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
WPC RESOURCES INC.,CA92935A2039,2270,000A12ELX,5WP,XETR,http://www.finanzen.at/aktien/WPC_Resources_1-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
YAMANA GOLD INC.,CA98462Y1007,1965,357818,RNY,XETR,http://www.finanzen.at/aktien/Yamana_Gold-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ZIMTU CAPITAL CORP.,CA9895892052,1651,000A0RDR9,ZCT1,XETR,http://www.finanzen.at/aktien/Zimtu_Capital-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
OC OERLIKON CORP.AG SF 1,CH0000816824,4583,863037,OBH,XETR,http://www.finanzen.at/aktien/OC_Oerlikon-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
GEORG FISCHER NA  SF 1,CH0001752309,2154,851082,GFIN,XETR,http://www.finanzen.at/aktien/Georg_Fischer-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
HIGHL.EVENT A.ENT.INH.SF9,CH0003583256,2674,896040,L60,XETR,http://www.finanzen.at/aktien/Highlight_Event_and_Entertainment-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
HIGHLIGHT CMNCTS INH.SF 1,CH0006539198,1803,920299,HLG,XETR,http://www.finanzen.at/aktien/Highlight_Communications-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SWISSCOM AG NAM.    SF 1,CH0008742519,2442,916234,SWJ,XETR,http://www.finanzen.at/aktien/Swisscom-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
"BARRY CALLEBAUT NA SF18,6",CH0009002962,14541,914661,BCLN,XETR,http://www.finanzen.at/aktien/Barry_Callebaut-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
"ACTELION LTD     SF 0,50",CH0010532478,7952,936767,ACT,XETR,http://www.finanzen.at/aktien/Actelion-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
LINDT SPRUENGLI NAM.SF100,CH0010570759,14294,859568,LSPN,XETR,http://www.finanzen.at/aktien/Chocoladefabriken_LindtSpruengli_1-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
LINDT SPRUENGLI PS  SF 10,CH0010570767,19038,870503,LSPP,XETR,http://www.finanzen.at/aktien/Chocoladefabriken_LindtSpruengli-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
GIVAUDAN SA NA      SF 10,CH0010645932,8702,938427,GIN,XETR,http://www.finanzen.at/aktien/Givaudan-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
"SYNGENTA AG NA     SF 0,1",CH0011037469,11728,580854,SVJ,XETR,http://www.finanzen.at/aktien/Syngenta-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
